county,med_yr_moved_inraw,med_house_income,fam_house_per,age_u18,bach
Bristol County,2011,40408,0.56992230854606,0.284182305630027,0.079187105816398
Bristol County,2004,97333,0.757596218771101,0.258360054970224,0.233380480905233
Bristol County,2011,36740,0.532102022867194,0.24869927159209201,0.0818038804404824
Plymouth County,2009,95368,0.727044025157233,0.0809823421960625,0.330811554332875
Plymouth County,2004,51591,0.703860072376357,0.219512195121951,0.21180787191461
Plymouth County,2008,53871,0.570198675496689,0.219105583487695,0.160090191657272
Plymouth County,2002,76576,0.701634159198735,0.240276406712734,0.256521739130435
Plymouth County,2000,140417,0.82025894897182,0.294388931591084,0.392649903288201
Plymouth County,2005,101576,0.648381601362862,0.240740740740741,0.326373842820563
Plymouth County,2008,73293,0.637798634812287,0.225026131103479,0.154764536811851
Plymouth County,2002,114135,0.834450963956412,0.280296669465435,0.332372505543237
Plymouth County,2005,94038,0.646041856232939,0.198170205420335,0.224225495175216
Plymouth County,2011,36549,0.812086874409821,0.349511854951185,0.0724003887269193
Plymouth County,2011,47702,0.7933390264731,0.383254716981132,0.0854663774403471
Plymouth County,2004,82969,0.694884287454324,0.22930955647005,0.181364392678869
Plymouth County,2002,93491,0.743940990516333,0.233366766967569,0.174666006927264
Plymouth County,2007,65283,0.728494623655914,0.180606698229002,0.140586797066015
Plymouth County,2003,85870,0.717167558666118,0.179343474779824,0.265983515259523
Plymouth County,2002,128063,0.827167310877968,0.254477611940298,0.365087956698241
Plymouth County,2004,75919,0.619440459110473,0.228215186326702,0.153083923154702
Plymouth County,2003,118994,0.755985736118186,0.242017416545718,0.421643835616438
Plymouth County,2000,98824,0.795134443021767,0.227786064351161,0.217757615035645
Plymouth County,2011,44389,0.687436676798379,0.264542079207921,0.100163755458515
Plymouth County,2000,103854,0.849585062240664,0.181189053161371,0.250779510022272
Plymouth County,2000,88321,0.753998476770754,0.203639282847204,0.218027734976888
Plymouth County,2003,102411,0.723358449946179,0.198735677597787,0.321876704855428
Plymouth County,2000,94447,0.700156985871272,0.218743923779895,0.145695364238411
Plymouth County,2006,70642,0.733960650128315,0.261068702290076,0.0573770491803279
Essex County,2006,95729,0.582327378078223,0.235772357723577,0.415622267560478
Essex County,2003,70735,0.582340195016251,0.162083936324168,0.331814038286235
Essex County,2003,75160,0.596570028583095,0.247825423470166,0.272788054379318
Essex County,2000,88750,0.748154981549816,0.286360698125404,0.332053742802303
Essex County,2005,76343,0.61549815498155,0.204410796576695,0.253333333333333
Essex County,2004,81154,0.681212121212121,0.147376349485313,0.246638242046573
Worcester County,2010,46901,0.602196461256864,0.262810293782737,0.16159169550173
Worcester County,2010,31991,0.571974522292994,0.220940959409594,0.0879284649776453
Worcester County,2011,22271,0.427209705372617,0.135891945313787,0.102119460500963
Worcester County,2007,74479,0.62625,0.201584507042254,0.209759188846641
Worcester County,2009,45063,0.523012552301255,0.179859719438878,0.186428739140643
Suffolk County,2001,92568,0.655723905723906,0.227790432801822,0.355654101995565
Middlesex County,2011,87820,0.496013864818024,0.177105478331971,0.338306366883799
Suffolk County,2006,64132,0.651376146788991,0.162268892478909,0.147692307692308
Middlesex County,2011,13825,0.391769107429182,0.165641191709845,0.0532633158289572
Middlesex County,2004,67541,0.694971145919209,0.164157422081352,0.199860237596087
Middlesex County,2009,107679,0.492965672481711,0.142211589580011,0.395402298850575
Middlesex County,2006,46341,0.768983268983269,0.251309997904003,0.0869427758457161
Middlesex County,2009,56084,0.667755991285403,0.244667760459393,0.111540749553837
Suffolk County,2007,41840,0.631768953068592,0.251694247438928,0.104976141785958
Suffolk County,2005,45598,0.672182006204757,0.229847847199741,0.125
Barnstable County,2004,68603,0.535419126328217,0.118313953488372,0.25654635527247
Barnstable County,2000,61422,0.620893561103811,0.0934549006838163,0.264376688537244
Barnstable County,2002,80881,0.696777122106219,0.178198685736374,0.24910941475827
Barnstable County,2003,73625,0.613749114103473,0.119702361695244,0.321656050955414
Barnstable County,2003,67644,0.609254498714653,0.156881388162586,0.218320610687023
Barnstable County,2002,82148,0.589440145653163,0.15079707022835,0.299805501528202
Barnstable County,2002,70054,0.652003142183818,0.0636327023761579,0.24724548259145
Barnstable County,2006,45225,0.468041237113402,0.1836291198841,0.169828782970847
Barnstable County,2003,71803,0.63335679099225906,0.106112317716413,0.29334336216622803
Barnstable County,2004,76087,0.611600587371512,0.135125448028674,0.321553228621291
Barnstable County,2002,76354,0.626658243840809,0.19,0.215216625572385
Barnstable County,2002,71641,0.693672099712368,0.18170504044804,0.265430390257404
Barnstable County,2002,88690,0.721510883482714,0.193684210526316,0.320623916811092
Barnstable County,2002,95719,0.785292961069603,0.220215053763441,0.301350814461661
Barnstable County,2004,90036,0.767690253671562,0.22640625,0.201129146083275
Barnstable County,2001,84461,0.58005540166205,0.115131578947368,0.277069021916912
Barnstable County,2004,48911,0.594164456233422,0.144233206590621,0.202790395846853
Barnstable County,2003,67543,0.547645125958379,0.0848729792147806,0.285232636547539
Barnstable County,2002,82415,0.713301536830949,0.126464260100406,0.272345530893821
Barnstable County,2003,47500,0.381489841986456,0.0724932249322493,0.281273692191054
Barnstable County,2005,69248,0.69256120527307,0.180983990628661,0.239699403990671
Barnstable County,2004,71447,0.619565217391304,0.170948243294295,0.212113402061856
Barnstable County,2002,69104,0.624641833810888,0.178182500938791,0.157676348547718
Barnstable County,2004,78929,0.640394088669951,0.171742112482853,0.224422442244224
Barnstable County,1999,86786,0.568421052631579,0.0794520547945206,0.334594594594595
Barnstable County,2006,48442,0.528532608695652,0.12644056634837,0.310927672955975
Barnstable County,2005,74350,0.56514745308311,0.186182924179883,0.1884603323926
