listing_id,date
15517432,2019-09-04
15517432,2019-09-11
15517432,2019-09-18
15517432,2019-09-22
15517432,2019-09-28
15517432,2019-09-29
15517432,2019-10-01
15517432,2019-10-04
15517432,2019-10-18
15517432,2019-10-20
15517432,2019-10-25
15517432,2019-10-29
15517432,2019-11-09
15517432,2019-11-12
15517432,2019-11-17
15517432,2019-11-25
15517432,2019-12-07
15517432,2019-12-27
15517432,2020-01-02
15521407,2019-02-15
15521407,2019-02-23
15521407,2019-03-01
15521407,2019-03-08
15521407,2019-03-17
15521407,2019-03-29
15521407,2019-03-31
15521407,2019-04-15
15521407,2019-04-19
15521407,2019-04-22
15521407,2019-04-26
15521407,2019-04-27
15521407,2019-04-30
15521407,2019-05-04
15521407,2019-05-17
15521407,2019-05-18
15521407,2019-05-19
15521407,2019-05-27
15521407,2019-06-02
15521407,2019-06-07
15521407,2019-06-08
15521407,2019-06-13
15521407,2019-06-15
15521407,2019-07-10
15521407,2019-08-01
15521407,2019-08-02
15521407,2019-08-08
15521407,2019-08-09
15521407,2019-08-10
15521407,2019-08-16
15521407,2019-08-21
15521407,2019-08-28
15521407,2019-08-30
15521407,2019-09-06
15521407,2019-09-07
15521407,2019-09-09
15521407,2019-09-14
15521407,2019-09-20
15521407,2019-09-23
15521407,2019-09-30
15521407,2019-10-05
15521407,2019-10-18
15521407,2019-10-21
15521407,2019-10-23
15521407,2019-10-26
15521407,2019-11-08
15521407,2019-11-10
15521407,2019-11-18
15521407,2019-12-07
15521407,2020-01-03
15521407,2020-02-07
15528667,2019-04-16
15528667,2019-06-09
15543038,2019-02-15
15543038,2019-02-27
15543038,2019-03-10
15543038,2019-03-12
15543038,2019-03-31
15543038,2019-04-13
15543038,2019-04-15
15543038,2019-04-30
15543038,2019-05-11
15543038,2019-06-01
15543038,2019-07-01
15543038,2019-07-14
15543038,2019-07-29
15543038,2019-08-01
15543038,2019-08-07
15543038,2019-08-14
15543038,2019-08-20
15543038,2019-09-01
15543038,2019-09-07
15543038,2019-09-14
15543038,2019-09-27
15543038,2019-10-01
15543038,2019-10-07
15543038,2019-12-08
15543038,2020-01-02
15543904,2019-01-06
15543904,2019-02-04
15543904,2019-02-17
15543904,2019-03-02
15543904,2019-03-08
15543904,2019-03-15
15543904,2019-03-24
15543904,2019-03-31
15543904,2019-04-25
15543904,2019-04-28
15543904,2019-05-01
15543904,2019-05-11
15543904,2019-05-28
15543904,2019-06-03
15543904,2019-06-16
15543904,2019-06-23
15543904,2019-07-07
15543904,2019-07-17
15543904,2019-07-21
15543904,2019-07-28
15543904,2019-08-03
15543904,2019-08-18
15543904,2019-08-23
15543904,2019-09-01
15543904,2019-09-09
15543904,2019-09-20
15543904,2019-09-22
15543904,2019-10-14
15543904,2019-10-28
15543904,2019-11-01
15543904,2019-11-11
15543904,2019-11-20
15543904,2019-11-25
15543904,2019-12-06
15543904,2019-12-13
15543904,2019-12-23
15543904,2020-01-01
15548410,2019-01-01
15548410,2019-01-03
15548410,2019-01-05
15548410,2019-01-10
15548410,2019-01-23
15548410,2019-01-29
15548410,2019-02-11
15548410,2019-02-13
15548410,2019-02-23
15548410,2019-02-24
15548410,2019-02-27
15548410,2019-03-06
15548410,2019-03-09
15548410,2019-03-14
15548410,2019-03-17
15548410,2019-03-18
15548410,2019-03-20
15548410,2019-03-22
15548410,2019-03-24
15548410,2019-03-29
15548410,2019-03-31
15548410,2019-04-06
15548410,2019-04-08
15548410,2019-04-10
15548410,2019-04-11
15548410,2019-04-16
15548410,2019-04-17
15548410,2019-04-22
15548410,2019-04-23
15548410,2019-04-24
15548410,2019-04-27
15548410,2019-05-03
15548410,2019-05-07
15548410,2019-05-08
15548410,2019-05-14
15548410,2019-05-20
15548410,2019-05-28
15548410,2019-06-05
15548410,2019-06-10
15548410,2019-06-17
15548410,2019-06-18
15548410,2019-06-21
15548410,2019-06-24
15548410,2019-06-26
15548410,2019-07-13
15548410,2019-07-24
15548410,2019-07-25
15548410,2019-07-27
15548410,2019-07-29
15548410,2019-08-06
15548410,2019-08-08
15548410,2019-08-14
15548410,2019-08-19
15548410,2019-08-22
15548410,2019-09-08
15548410,2019-09-11
15548410,2019-09-12
15548410,2019-09-13
15548410,2019-09-16
15548410,2019-09-17
15548410,2019-09-21
15548410,2019-10-02
15548410,2019-10-18
15548410,2019-10-20
15548410,2019-10-21
15548410,2019-10-24
15548410,2019-10-28
15548410,2019-11-03
15548410,2019-11-08
15548410,2019-11-12
15548410,2019-11-15
15548410,2019-11-17
15548410,2019-11-21
15548410,2019-11-30
15548410,2019-12-08
15548410,2019-12-16
15548410,2019-12-20
15548410,2019-12-30
15548410,2020-01-14
15548410,2020-01-20
15548410,2020-01-31
15548410,2020-02-02
15548410,2020-02-14
15548410,2020-02-18
15548410,2020-02-22
15548410,2020-02-23
15548410,2020-02-29
15548410,2020-03-07
15548410,2020-03-10
15559436,2019-01-01
15559436,2019-01-06
15559436,2019-01-08
15559436,2019-01-14
15559436,2019-01-18
15559436,2019-01-19
15559436,2019-01-21
15559436,2019-01-30
15559436,2019-02-04
15559436,2019-02-11
15559436,2019-02-14
15559436,2019-02-18
15559436,2019-02-24
15559436,2019-02-25
15559436,2019-02-27
15559436,2019-02-28
15559436,2019-03-01
15559436,2019-03-04
15559436,2019-03-07
15559436,2019-03-09
15559436,2019-03-13
15559436,2019-03-15
15559436,2019-03-16
15559436,2019-03-19
15559436,2019-03-24
15559436,2019-03-28
15559436,2019-03-31
15559436,2019-04-02
15559436,2019-04-05
15559436,2019-04-11
15559436,2019-04-14
15559436,2019-04-19
15559436,2019-04-20
15559436,2019-04-21
15559436,2019-04-23
15559436,2019-04-25
15559436,2019-04-28
15559436,2019-04-30
15559436,2019-05-01
15559436,2019-05-03
15559436,2019-05-05
15559436,2019-05-06
15559436,2019-05-08
15559436,2019-05-09
15559436,2019-05-11
15559436,2019-05-13
15559436,2019-05-14
15559436,2019-05-16
15559436,2019-05-20
15559436,2019-05-23
15559436,2019-05-27
15559436,2019-06-01
15559436,2019-06-05
15559436,2019-06-10
15559436,2019-06-11
15559436,2019-06-14
15559436,2019-06-15
15559436,2019-06-18
15559436,2019-06-19
15559436,2019-06-22
15559436,2019-06-28
15559436,2019-07-01
15559436,2019-07-04
15559436,2019-07-07
15559436,2019-07-19
15559436,2019-07-21
15559436,2019-07-24
15559436,2019-07-26
15559436,2019-07-27
15559436,2019-07-29
15559436,2019-07-30
15559436,2019-08-01
15559436,2019-08-02
15559436,2019-08-05
15559436,2019-08-06
15559436,2019-08-12
15559436,2019-08-16
15559436,2019-08-22
15559436,2019-08-24
15559436,2019-08-31
15559436,2019-09-02
15559436,2019-09-05
15559436,2019-09-06
15559436,2019-09-09
15559436,2019-09-12
15559436,2019-09-15
15559436,2019-09-17
15559436,2019-09-22
15559436,2019-09-27
15559436,2019-09-28
15559436,2019-10-01
15559436,2019-10-04
15559436,2019-10-06
15559436,2019-10-09
15559436,2019-10-11
15559436,2019-10-12
15559436,2019-10-15
15559436,2019-10-17
15559436,2019-10-20
15559436,2019-10-22
15559436,2019-10-23
15559436,2019-10-27
15559436,2019-11-02
15559436,2019-11-04
15559436,2019-11-06
15559436,2019-11-10
15559436,2019-11-13
15559436,2019-11-18
15559436,2019-11-20
15559436,2019-11-22
15559436,2019-11-24
15559436,2019-12-06
15559436,2019-12-07
15559436,2019-12-12
15559436,2019-12-14
15559436,2019-12-18
15559436,2019-12-23
15559436,2019-12-26
15559436,2019-12-31
15559436,2020-01-01
15559436,2020-01-04
15559436,2020-01-06
15559436,2020-01-13
15559436,2020-01-16
15559436,2020-01-31
15559436,2020-02-09
15559436,2020-02-12
15559436,2020-02-16
15559436,2020-02-22
15559436,2020-02-23
15559436,2020-03-02
15559436,2020-03-08
15581608,2019-01-08
15581608,2019-01-19
15581608,2019-02-01
15581608,2019-02-24
15581608,2019-03-03
15581608,2019-03-11
15581608,2019-03-17
15581608,2019-03-28
15581608,2019-03-31
15581608,2019-04-06
15581608,2019-04-10
15581608,2019-04-13
15581608,2019-04-16
15581608,2019-04-21
15581608,2019-05-04
15581608,2019-05-08
15581608,2019-05-16
15581608,2019-05-23
15581608,2019-05-26
15581608,2019-06-20
15581608,2019-06-26
15581608,2019-07-24
15581608,2019-08-02
15581608,2019-08-07
15581608,2019-08-13
15581608,2019-08-18
15581608,2019-08-23
15581608,2019-08-27
15581608,2019-09-13
15581608,2019-09-28
15581608,2019-10-05
15581608,2019-10-14
15581608,2019-10-19
15581608,2019-11-08
15581608,2019-11-21
15581608,2019-12-07
15581608,2019-12-15
15581608,2019-12-31
15581608,2020-01-08
15581608,2020-01-19
15581608,2020-01-27
15581608,2020-01-31
15581608,2020-02-02
15581608,2020-02-09
15581608,2020-02-17
15581608,2020-02-20
15581608,2020-02-26
15581608,2020-03-03
15581608,2020-03-08
15581608,2020-03-13
15582062,2019-01-01
15582062,2019-01-05
15582062,2019-01-29
15582062,2019-02-06
15582062,2019-02-10
15582062,2019-02-14
15582062,2019-02-19
15582062,2019-02-24
15582062,2019-03-01
15582062,2019-03-06
15582062,2019-03-10
15582062,2019-03-17
15582062,2019-03-22
15582062,2019-03-30
15582062,2019-04-16
15582062,2019-04-21
15582062,2019-04-25
15582062,2019-05-04
15582062,2019-05-08
15582062,2019-05-11
15582062,2019-05-15
15582062,2019-05-20
15582062,2019-05-27
15582062,2019-06-07
15582062,2019-06-23
15582062,2019-07-14
15582062,2019-07-18
15582062,2019-07-21
15582062,2019-08-02
15582062,2019-08-13
15582062,2019-08-16
15582062,2019-08-22
15582062,2019-09-04
15582062,2019-09-07
15582062,2019-09-19
15582062,2019-09-27
15582062,2019-09-30
15582062,2019-10-03
15582062,2019-10-06
15582062,2019-10-15
15582062,2019-10-18
15582062,2019-10-21
15582062,2019-10-30
15582062,2019-11-04
15582062,2019-11-11
15582062,2019-11-24
15582062,2019-12-06
15582062,2020-01-01
15582062,2020-01-12
15582062,2020-01-20
15582062,2020-02-03
15582062,2020-02-06
15582062,2020-02-10
15582062,2020-02-17
15582062,2020-03-01
15582062,2020-03-05
15582062,2020-03-09
15582062,2020-03-11
15582521,2019-01-05
15582521,2019-01-15
15582521,2019-01-17
15582521,2019-03-03
15582521,2019-03-08
15582521,2019-03-18
15582521,2019-03-21
15582521,2019-03-25
15582521,2019-03-28
15582521,2019-04-11
15582521,2019-04-16
15582521,2019-04-23
15582521,2019-04-29
15582521,2019-05-04
15582521,2019-05-08
15582521,2019-06-13
15582521,2019-06-23
15582521,2019-06-28
15582521,2019-07-17
15582521,2019-07-20
15582521,2019-07-26
15582521,2019-07-28
15582521,2019-08-07
15582521,2019-08-15
15582521,2019-09-04
15582521,2019-09-07
15582521,2019-09-19
15582521,2019-09-20
15582521,2019-09-26
15582521,2019-10-11
15582521,2019-10-17
15582521,2019-11-13
15582521,2020-01-25
15616726,2019-01-06
15616726,2019-01-13
15616726,2019-01-20
15616726,2019-01-27
15616726,2019-02-10
15616726,2019-02-18
15616726,2019-02-26
15616726,2019-03-09
15616726,2019-03-11
15616726,2019-03-18
15616726,2019-03-24
15616726,2019-03-28
15616726,2019-03-31
15616726,2019-04-15
15616726,2019-04-17
15616726,2019-04-21
15616726,2019-04-29
15616726,2019-05-05
15616726,2019-05-15
15616726,2019-05-18
15616726,2019-05-21
15616726,2019-05-25
15616726,2019-05-28
15616726,2019-06-01
15616726,2019-06-05
15616726,2019-06-16
15616726,2019-06-19
15616726,2019-06-25
15616726,2019-06-27
15616726,2019-07-01
15616726,2019-07-06
15616726,2019-07-08
15616726,2019-07-14
15616726,2019-07-16
15616726,2019-07-21
15616726,2019-07-23
15616726,2019-07-30
15616726,2019-08-06
15616726,2019-08-14
15616726,2019-08-17
15616726,2019-08-24
15616726,2019-09-02
15616726,2019-09-16
15616726,2019-09-19
15616726,2019-09-23
15616726,2019-10-06
15616726,2019-10-18
15616726,2019-11-05
15616726,2019-11-10
15616726,2019-12-08
15616726,2019-12-26
15616726,2019-12-31
15616726,2020-01-22
15616726,2020-01-27
15616726,2020-02-03
15616726,2020-03-01
15616726,2020-03-09
15616726,2020-03-14
15630129,2019-01-09
15630129,2019-01-11
15630129,2019-01-15
15630129,2019-01-22
15630129,2019-01-31
15630129,2019-02-06
15630129,2019-03-03
15630129,2019-03-16
15630129,2019-04-01
15630129,2019-04-09
15630129,2019-04-13
15630129,2019-04-17
15630129,2019-04-19
15630129,2019-04-24
15630129,2019-05-01
15630129,2019-05-27
15630129,2019-06-04
15630129,2019-06-22
15630129,2019-06-25
15630129,2019-06-28
15630129,2019-06-30
15630129,2019-07-07
15630129,2019-07-15
15630129,2019-07-19
15630129,2019-07-21
15630129,2019-07-22
15630129,2019-07-25
15630129,2019-07-29
15630129,2019-08-04
15630129,2019-08-15
15630129,2019-10-12
15630129,2019-10-21
15630129,2019-11-02
15630129,2019-11-21
15630129,2019-11-28
15630129,2019-12-03
15630129,2019-12-12
15630129,2019-12-14
15630129,2019-12-16
15630129,2019-12-17
15630129,2019-12-20
15660279,2019-02-11
15660279,2019-02-20
15660279,2019-02-24
15660279,2019-03-09
15660279,2019-03-12
15660279,2019-03-15
15660279,2019-03-20
15660279,2019-03-30
15660279,2019-03-31
15660279,2019-04-05
15660279,2019-04-14
15660279,2019-04-25
15660279,2019-04-30
15660279,2019-05-01
15660279,2019-05-04
15660279,2019-05-06
15660279,2019-05-12
15660279,2019-05-16
15660279,2019-05-27
15660279,2019-06-05
15660279,2019-06-09
15660279,2019-06-13
15660279,2019-06-20
15660279,2019-07-12
15660279,2019-07-17
15660279,2019-07-26
15660279,2019-08-09
15660279,2019-08-14
15660279,2019-08-18
15660279,2019-08-30
15660279,2019-09-01
15660279,2019-09-03
15660279,2019-09-08
15660279,2019-09-13
15660279,2019-09-19
15660279,2019-09-27
15660279,2019-10-19
15660279,2019-10-22
15660279,2019-10-26
15660279,2019-10-29
15660279,2019-11-09
15660279,2019-11-16
15660279,2019-11-21
15660279,2019-12-08
15660279,2019-12-18
15660279,2019-12-30
15660279,2020-01-01
15660279,2020-01-17
15660279,2020-01-21
15660279,2020-01-30
15660279,2020-02-10
15660279,2020-02-12
15660279,2020-02-18
15660279,2020-02-23
15660279,2020-03-01
15661261,2019-04-16
15661261,2019-05-20
15661261,2019-06-15
15661261,2019-06-21
15661261,2019-06-26
15661261,2019-07-19
15661261,2019-08-01
15661261,2019-09-07
15661261,2019-09-11
15661261,2019-09-19
15661261,2019-11-03
15665707,2019-01-27
15665707,2019-05-11
15665707,2019-07-27
15665935,2019-01-04
15665935,2019-02-02
15665935,2019-05-04
15665935,2019-07-27
15665935,2019-12-31
15710997,2019-01-06
15710997,2019-01-21
15710997,2019-03-10
15710997,2019-03-18
15710997,2019-03-24
15710997,2019-04-06
15710997,2019-04-16
15710997,2019-04-23
15710997,2019-05-11
15710997,2019-05-16
15710997,2019-05-20
15710997,2019-06-01
15710997,2019-06-09
15710997,2019-06-14
15710997,2019-06-19
15710997,2019-06-27
15710997,2019-06-30
15710997,2019-07-06
15710997,2019-07-09
15710997,2019-07-15
15710997,2019-07-20
15710997,2019-07-22
15710997,2019-08-03
15710997,2019-08-08
15710997,2019-08-10
15710997,2019-08-12
15710997,2019-08-16
15710997,2019-08-19
15710997,2019-08-22
15710997,2019-08-31
15710997,2019-09-03
15710997,2019-09-17
15710997,2019-09-22
15710997,2019-09-30
15710997,2019-10-07
15710997,2019-10-10
15710997,2019-10-14
15710997,2019-10-17
15710997,2019-10-21
15710997,2019-10-23
15710997,2019-10-26
15710997,2019-10-29
15710997,2019-11-06
15710997,2019-11-10
15710997,2019-11-18
15710997,2019-11-24
15710997,2019-12-26
15710997,2020-01-24
15710997,2020-03-13
15767124,2019-01-01
15797699,2019-04-26
15797699,2019-06-02
15797699,2019-09-24
15797699,2020-02-08
15819226,2019-05-19
15819226,2019-06-10
15819226,2019-06-27
15819226,2019-09-19
15819226,2019-11-10
15819226,2020-01-28
15821724,2019-02-10
15821724,2019-02-26
15821724,2019-03-03
15821724,2019-03-10
15821724,2019-03-21
15821724,2019-03-24
15821724,2019-04-06
15821724,2019-04-11
15821724,2019-04-17
15821724,2019-04-20
15821724,2019-04-24
15821724,2019-04-29
15821724,2019-05-01
15821724,2019-05-04
15821724,2019-05-10
15821724,2019-05-14
15821724,2019-05-16
15821724,2019-05-19
15821724,2019-06-05
15821724,2019-06-10
15821724,2019-06-18
15821724,2019-06-25
15821724,2019-06-28
15821724,2019-06-30
15821724,2019-07-12
15821724,2019-07-16
15821724,2019-07-21
15821724,2019-08-02
15821724,2019-08-08
15821724,2019-08-13
15821724,2019-08-21
15821724,2019-08-25
15821724,2019-08-27
15821724,2019-08-30
15821724,2019-09-02
15821724,2019-09-06
15821724,2019-09-11
15821724,2019-09-20
15821724,2019-09-23
15821724,2019-09-27
15821724,2019-09-29
15821724,2019-10-03
15821724,2019-10-06
15821724,2019-10-19
15821724,2019-10-21
15821724,2019-10-23
15821724,2019-10-27
15821724,2019-10-31
15821724,2019-11-03
15821724,2019-11-07
15821724,2019-11-11
15821724,2019-11-20
15821724,2019-12-01
15821724,2019-12-05
15821724,2019-12-08
15821724,2019-12-15
15821724,2019-12-19
15821724,2020-01-01
15821724,2020-01-05
15821724,2020-01-08
15821724,2020-01-11
15821724,2020-01-13
15821724,2020-01-22
15821724,2020-02-01
15821724,2020-02-09
15821724,2020-03-01
15827529,2019-03-16
15827529,2019-03-22
15827529,2019-04-14
15827529,2019-04-19
15827529,2019-05-02
15827529,2019-05-09
15827529,2019-05-14
15827529,2019-05-23
15827529,2019-06-17
15827529,2019-09-15
15827529,2019-10-11
15827529,2019-10-20
15827529,2019-11-01
15827529,2019-12-23
15827529,2020-02-07
15830969,2019-01-31
15830969,2019-03-19
15830969,2019-03-31
15830969,2019-04-16
15830969,2019-05-15
15830969,2019-05-20
15830969,2019-05-25
15830969,2019-06-04
15830969,2019-06-09
15830969,2019-06-13
15830969,2019-06-27
15830969,2019-07-18
15830969,2019-07-21
15830969,2019-07-28
15830969,2019-08-01
15830969,2019-08-14
15830969,2019-08-23
15830969,2019-09-02
15830969,2019-09-08
15830969,2019-09-13
15830969,2019-09-17
15830969,2019-09-19
15830969,2019-09-22
15830969,2019-09-24
15830969,2019-09-26
15830969,2019-10-07
15830969,2019-10-20
15830969,2019-10-26
15830969,2019-11-08
15830969,2019-11-11
15832498,2019-02-18
15832498,2019-04-03
15832498,2019-05-06
15832498,2019-05-18
15832498,2019-05-26
15832498,2019-06-01
15832498,2019-07-14
15832498,2019-07-23
15832498,2019-08-12
15832498,2019-09-04
15832498,2019-09-10
15832498,2019-09-29
15832498,2019-10-23
15832498,2019-11-12
15832498,2019-11-22
15832498,2019-12-03
15901362,2019-01-10
15901362,2019-01-26
15901362,2019-02-04
15901362,2019-02-11
15901362,2019-02-18
