id,neighborhood,room_type,price,minimum_nights,availability_365,host_id
38127491,Allston,Entire home/apt,133,1,155,18110188
38127591,Allston,Entire home/apt,133,1,159,18110188
38127996,Allston,Entire home/apt,133,1,161,18110188
38128077,Allston,Entire home/apt,133,1,154,18110188
38128253,Allston,Entire home/apt,133,1,162,18110188
38128313,Allston,Entire home/apt,133,1,165,18110188
38128388,Allston,Entire home/apt,133,1,152,18110188
38128461,Allston,Entire home/apt,133,1,165,18110188
38128527,Allston,Entire home/apt,133,1,161,18110188
38128601,Allston,Entire home/apt,200,1,147,18110188
38128659,Allston,Entire home/apt,133,1,104,18110188
38128713,Allston,Entire home/apt,133,1,101,18110188
38128761,Allston,Entire home/apt,133,1,97,18110188
38128807,Allston,Entire home/apt,133,1,99,18110188
38128950,Allston,Entire home/apt,133,1,150,18110188
38129197,Allston,Entire home/apt,133,1,158,18110188
38129388,Allston,Entire home/apt,133,1,163,18110188
38129448,Allston,Entire home/apt,133,1,75,18110188
38129502,Allston,Entire home/apt,133,1,154,18110188
38129565,Allston,Entire home/apt,133,1,43,18110188
38129604,Allston,Entire home/apt,133,1,30,18110188
38129654,Allston,Entire home/apt,133,1,131,18110188
38129732,Allston,Entire home/apt,133,1,162,18110188
38129774,Allston,Entire home/apt,133,1,163,18110188
38129827,Allston,Entire home/apt,131,1,149,18110188
38129864,Allston,Entire home/apt,133,1,159,18110188
38129896,Allston,Entire home/apt,133,1,152,18110188
38130138,Allston,Entire home/apt,133,1,50,18110188
38130228,Allston,Entire home/apt,133,1,160,18110188
38130280,Allston,Entire home/apt,133,1,161,18110188
38130377,Allston,Entire home/apt,133,1,156,18110188
38130459,Allston,Entire home/apt,133,1,107,18110188
38130674,Allston,Entire home/apt,133,1,153,18110188
38131523,Allston,Entire home/apt,133,1,153,18110188
38131552,Allston,Entire home/apt,147,1,156,18110188
38131581,Allston,Entire home/apt,147,1,108,18110188
38131606,Allston,Entire home/apt,147,1,158,18110188
38131632,Allston,Entire home/apt,133,1,167,18110188
38131683,Allston,Entire home/apt,147,1,17,18110188
38131730,Allston,Entire home/apt,147,1,59,18110188
38131763,Allston,Entire home/apt,147,1,164,18110188
38131802,Allston,Entire home/apt,133,1,156,18110188
38131820,Allston,Entire home/apt,147,1,162,18110188
38131851,Allston,Entire home/apt,147,1,160,18110188
38132369,Roxbury,Shared room,27,91,0,197583948
38134488,Mission Hill,Entire home/apt,169,3,318,281602481
38148436,South Boston,Private room,65,91,365,26704689
38155817,Jamaica Plain,Shared room,65,1,365,261924568
38163886,South Boston,Private room,85,91,195,26704689
38164617,South Boston,Private room,85,91,272,26704689
38167904,Back Bay,Entire home/apt,299,1,77,212359760
38168266,Back Bay,Entire home/apt,299,1,85,212359760
38168575,Back Bay,Entire home/apt,299,1,192,212359760
38178173,Back Bay,Entire home/apt,162,32,287,107434423
38179248,Allston,Entire home/apt,146,1,103,18110188
38207179,East Boston,Entire home/apt,199,1,243,290314495
38209614,Roxbury,Private room,45,2,334,289295680
38210366,Roxbury,Private room,45,2,360,289295680
38215747,Brighton,Entire home/apt,92,29,265,71783
38217054,East Boston,Entire home/apt,200,1,60,29878972
38221386,Back Bay,Entire home/apt,299,1,44,212359760
38221561,Back Bay,Entire home/apt,299,1,62,212359760
38246608,Back Bay,Entire home/apt,595,6,87,118162851
38266710,Roxbury,Private room,32,2,358,289295680
38266814,Roxbury,Private room,50,2,358,289295680
38266985,Roxbury,Private room,50,2,351,289295680
38267249,Roxbury,Private room,59,2,359,289295680
38267287,Roxbury,Private room,59,2,363,289295680
38267405,Roxbury,Private room,49,2,365,289295680
38274887,Back Bay,Entire home/apt,165,32,349,107434423
38279103,Allston,Private room,99,1,66,290984032
38285740,South End,Entire home/apt,699,91,179,291036089
38301053,Dorchester,Private room,50,91,79,105851798
38311023,Dorchester,Private room,50,91,319,105851798
38324912,Jamaica Plain,Entire home/apt,233,2,261,122377513
38363736,Brighton,Entire home/apt,122,91,180,147440099
38368872,North End,Entire home/apt,116,32,364,107434423
38378376,Mission Hill,Entire home/apt,349,91,357,187675813
38381800,Back Bay,Entire home/apt,197,3,162,32228627
38382899,Jamaica Plain,Entire home/apt,425,1,77,292283551
38384895,Jamaica Plain,Private room,50,1,16,292283551
38385157,Jamaica Plain,Private room,50,1,16,292283551
38385300,Jamaica Plain,Private room,50,1,16,292283551
38385513,Jamaica Plain,Private room,50,1,16,292283551
38385544,Jamaica Plain,Private room,90,91,173,88569091
38385951,Downtown,Entire home/apt,139,28,152,799496
38387822,Dorchester,Private room,80,1,352,292399041
