id,neighborhood,room_type,price,longitude,latitude
6758443,South End,Entire home/apt,150,-71.07633,42.34441
6758462,South End,Entire home/apt,150,-71.07633,42.34441
6758482,South End,Entire home/apt,150,-71.07644,42.34447
6759004,Back Bay,Entire home/apt,150,-71.08264,42.34982
6762011,South End,Entire home/apt,150,-71.07633,42.34441
6763409,South End,Entire home/apt,150,-71.07644,42.34447
6764572,Jamaica Plain,Private room,89,-71.10628,42.31858
6780077,Dorchester,Private room,70,-71.06137,42.31392
6790961,Fenway,Entire home/apt,181,-71.09981,42.34457
6793945,South End,Entire home/apt,195,-71.07416,42.33633
6800522,Roxbury,Private room,33,-71.08,42.31676
6810723,South End,Entire home/apt,150,-71.07633,42.34441
6819620,Roxbury,Private room,37,-71.08,42.31676
6823017,Allston,Private room,65,-71.12952,42.35803
6844012,Fenway,Entire home/apt,179,-71.10035,42.34375
6851459,South End,Entire home/apt,150,-71.07633,42.34441
6851460,South End,Entire home/apt,150,-71.07633,42.34441
6862594,Jamaica Plain,Private room,60,-71.11325,42.31927
6879036,Back Bay,Entire home/apt,150,-71.08264,42.34982
6882615,Back Bay,Entire home/apt,150,-71.08264,42.34982
6908525,Back Bay,Entire home/apt,150,-71.08264,42.34982
6914155,Dorchester,Private room,59,-71.0564,42.315
6914622,Jamaica Plain,Entire home/apt,190,-71.11794,42.30814
6921672,Jamaica Plain,Entire home/apt,250,-71.10777,42.32133
6951829,Fenway,Entire home/apt,188,-71.10173,42.34506
6990904,Jamaica Plain,Private room,150,-71.09977,42.3153
7018497,North End,Entire home/apt,200,-71.05704,42.36638
7053454,Charlestown,Private room,200,-71.06324,42.38005
7054912,Downtown,Entire home/apt,225,-71.05904,42.36623
7055184,Allston,Private room,35,-71.13263,42.35507
7086825,Roslindale,Private room,50,-71.11682,42.28228
7092144,Jamaica Plain,Private room,75,-71.101,42.31848
7093109,Roslindale,Entire home/apt,200,-71.11776,42.27697
7093184,Roxbury,Private room,34,-71.08,42.31676
7161203,Roxbury,Private room,34,-71.08,42.31676
7179321,East Boston,Private room,68,-71.03703,42.37202
7181950,North End,Entire home/apt,185,-71.05202,42.36419
7185881,Hyde Park,Private room,33,-71.13291,42.23689
7214920,South End,Entire home/apt,250,-71.0695,42.33683
7222349,Dorchester,Private room,110,-71.0558,42.29347
7239024,Dorchester,Private room,100,-71.05575,42.29263
7273770,Jamaica Plain,Entire home/apt,145,-71.11516,42.30606
7279874,Fenway,Entire home/apt,135,-71.09199,42.34831
7281884,Roxbury,Entire home/apt,56,-71.08316,42.31289
7287822,Jamaica Plain,Entire home/apt,130,-71.10846,42.31527
7292184,Dorchester,Entire home/apt,60,-71.05566,42.29456
7298966,Brighton,Entire home/apt,80,-71.14416,42.343
7308623,West End,Private room,60,-71.06835,42.36185
7309178,Mission Hill,Private room,55,-71.1066,42.3345
7310887,Brighton,Entire home/apt,285,-71.13819,42.34554
7330494,South Boston,Entire home/apt,150,-71.05558,42.33062
7333304,Charlestown,Private room,150,-71.0706,42.38245
7342489,South End,Entire home/apt,300,-71.07644,42.34447
7368611,South End,Entire home/apt,195,-71.06939,42.34552
7474044,Back Bay,Entire home/apt,150,-71.08264,42.34982
7474855,Back Bay,Entire home/apt,150,-71.08264,42.34982
7475052,Back Bay,Entire home/apt,150,-71.08264,42.34982
7475215,Back Bay,Entire home/apt,150,-71.08264,42.34982
7475379,Back Bay,Entire home/apt,150,-71.08264,42.34982
7475573,Back Bay,Entire home/apt,150,-71.08264,42.34982
7476340,South End,Entire home/apt,150,-71.07633,42.34441
7479725,Allston,Private room,40,-71.1356,42.36084
7482195,Roslindale,Private room,50,-71.11519,42.28222
7497047,Hyde Park,Private room,31,-71.13246,42.23594
7499960,Fenway,Entire home/apt,198,-71.09486,42.35062
7511737,South End,Entire home/apt,150,-71.07644,42.34447
7513605,South End,Entire home/apt,150,-71.07644,42.34447
7513906,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7514024,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7514336,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7527149,Beacon Hill,Entire home/apt,650,-71.07023,42.35623
7531700,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7540480,South End,Entire home/apt,165,-71.06922,42.3437
7561220,Allston,Private room,65,-71.12941,42.35841
7575052,South End,Entire home/apt,200,-71.07511,42.34055
7582224,West End,Entire home/apt,149,-71.06852,42.3623
7596262,West End,Entire home/apt,159,-71.06914,42.36503
7611271,South Boston,Entire home/apt,598,-71.03399,42.33182
7614517,Beacon Hill,Entire home/apt,200,-71.06792,42.36033
7633883,Beacon Hill,Entire home/apt,400,-71.07135,42.35738
7635616,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7637094,Longwood Medical Area,Entire home/apt,100,-71.10703,42.34213
7645153,South Boston Waterfront,Entire home/apt,220,-71.04758,42.34906
7651065,Roslindale,Private room,68,-71.13626,42.28451
7692933,Brighton,Private room,65,-71.16214,42.35568
7693354,Dorchester,Private room,72,-71.05372,42.31268
7694365,South End,Entire home/apt,150,-71.07633,42.34441
7694559,South End,Entire home/apt,150,-71.07633,42.34441
7713815,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7714627,South End,Entire home/apt,249,-71.07183,42.34384
7728499,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7783953,Allston,Private room,78,-71.12801,42.35995
7797744,Allston,Private room,50,-71.12941,42.35842
7832890,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7837202,Beacon Hill,Entire home/apt,150,-71.06346,42.36017
7854569,West Roxbury,Private room,90,-71.15136,42.29402
